epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,25214.9,0.80203,1.04107,1.40807,0.88907,0.31738,0.63271,0.36482,0.31181,0.31738,0.63271,0.36482,0.20683,0.64026,0.7542,1.82102,0.8012,0.000453652,0.000453652,0.000453652
48,25805,0.77787,1.00055,1.41736,0.88794,0.33379,0.63844,0.39688,0.33843,0.33379,0.63844,0.39688,0.22895,0.63819,0.73629,1.71962,0.80017,0.000445405,0.000445405,0.000445405
49,26408.4,0.79006,1.07131,1.39667,0.88244,0.30924,0.6199,0.38466,0.32659,0.30924,0.6199,0.38466,0.22195,0.63275,0.74124,1.71601,0.79983,0.000437158,0.000437158,0.000437158
50,27006.7,0.80053,1.04923,1.40605,0.89368,0.31398,0.60601,0.38909,0.33221,0.31398,0.60601,0.38909,0.21894,0.63646,0.761,1.78385,0.79879,0.000428912,0.000428912,0.000428912
51,27598.5,0.78551,1.05157,1.37701,0.88337,0.31023,0.6228,0.39785,0.33923,0.31023,0.6228,0.39785,0.22537,0.6321,0.71857,1.75267,0.79998,0.000420665,0.000420665,0.000420665
52,28192.5,0.7831,1.01857,1.40393,0.88658,0.31781,0.6274,0.39487,0.33725,0.31781,0.6274,0.39487,0.22479,0.63083,0.76924,1.70363,0.7994,0.000412418,0.000412418,0.000412418
53,28803.2,0.78794,1.0452,1.39931,0.88895,0.34078,0.62805,0.38958,0.33409,0.34078,0.62805,0.38958,0.22489,0.6339,0.75267,1.74498,0.79877,0.000404172,0.000404172,0.000404172
54,29405.1,0.76694,1.00575,1.37296,0.88076,0.31319,0.61622,0.3661,0.31271,0.31319,0.61622,0.3661,0.20718,0.64034,0.74547,1.86174,0.80047,0.000395925,0.000395925,0.000395925
55,30005.7,0.77882,1.04408,1.38334,0.88173,0.33874,0.60891,0.3994,0.34192,0.33874,0.60891,0.3994,0.22589,0.64038,0.75507,1.78569,0.80008,0.000387678,0.000387678,0.000387678
56,30609.4,0.77637,1.02394,1.41247,0.8871,0.34104,0.62223,0.39053,0.3333,0.34104,0.62223,0.39053,0.22038,0.63482,0.74825,1.73989,0.79995,0.000379431,0.000379431,0.000379431
